epoch,val_acc,val_f1,val_precision,val_recall,val_auc,test_acc,test_f1,test_precision,test_recall,test_auc
0,35.83915037296903,8.17083443785342,0,0,0.4597348324711893,47.445730911529104,7.955087041326525,0,0,0.4682063648518572
1,40.873334211377056,9.350604141759609,0,0,0.47427099905877274,48.487649516876395,8.962143163970342,0,0,0.4809149623892946
2,39.54968330559513,9.453584285020364,0,0,0.4740819719194205,45.82454291837785,9.035218538777194,0,0,0.48065540727769224
3,39.255738215256414,9.561207346725146,0,0,0.47488286493124665,47.82815886205534,9.112094438324391,0,0,0.4813485383647659
4,41.085860702355156,9.676428200074103,0,0,0.4789550733285131,49.03387253199871,9.211969756015119,0,0,0.485502909766994
5,41.24031657467163,9.733554622764341,0,0,0.4799624707555452,47.9356793065051,9.28669086112462,0,0,0.4862365632666575
6,40.429722578096005,9.788774748140453,0,0,0.48115483793187847,46.766364539805316,9.403713595649146,0,0,0.48773877530397647
7,39.624516577066295,9.892472930481087,0,0,0.4827392447428859,48.99723416228643,9.491545509045828,0,0,0.4890817650462874
8,40.03580023707181,9.972649487016794,0,0,0.4848244546154198,49.33224775200852,9.5596584400993,0,0,0.4911963844628119
9,41.31335384762749,10.06382870094915,0,0,0.48646700207958665,49.00681282103474,9.716607424675942,0,0,0.49290330802894433
10,42.71004202636525,10.12549034961244,0,0,0.48893763976686316,49.152408434009025,9.754180010274304,0,0,0.49584242417495217
11,41.759360145595615,10.17307886862676,0,0,0.49057497100255976,47.02498832600965,9.824523447311792,0,0,0.4969921107125538
12,41.83898274644093,10.22604038934437,0,0,0.49232793900642857,49.62894670673739,9.880963589185235,0,0,0.49886930995414314
13,42.00660927453634,10.321313728159675,0,0,0.4936854777529311,50.13661562039775,9.944700190458422,0,0,0.49977626724058266
14,42.32390234557407,10.357907550271294,0,0,0.49597628593222104,50.129910559273945,10.003551271568208,0,0,0.5024932110585277
15,43.58110130628959,10.405854734666223,0,0,0.49943984388726737,51.65004370263054,10.062077238841672,0,0,0.5060432136129412
16,44.57249248673955,10.459031097127454,0,0,0.49965852559815843,53.756869694321054,10.136468996545922,0,0,0.5058268286132421
17,44.71198170476178,10.503028827053104,0,0,0.502024898247955,54.02842466983559,10.191422480008068,0,0,0.5080515443510646
18,47.52571271207749,10.587231379469056,0,0,0.5048642163311372,56.396269112417535,10.279095125480715,0,0,0.5110272368814813
19,46.364899005016824,10.634589147588082,0,0,0.5059565574234647,56.11489601168598,10.339582004501287,0,0,0.5115861358563089
20,46.49480956429077,10.700903950854402,0,0,0.5078555621975895,56.2990457261222,10.385801125969984,0,0,0.5131995478128389
21,49.28160059387684,10.761069760313916,0,0,0.5092444181918154,56.64172224284293,10.425614672403539,0,0,0.5151872926464303
