epoch,val_acc,val_f1,val_precision,val_recall,val_auc,test_acc,test_f1,test_precision,test_recall,test_auc
0,53.01984126984126,12.876235692780881,0,0,0.48277787963936447,51.14791865268509,12.896139996163464,0,0,0.5011621301218212
1,62.18253968253968,13.264087913465856,0,0,0.5068771746864192,53.82109945980299,13.188083885565135,0,0,0.5236290797102172
2,63.436507936507944,14.42639095899358,0,0,0.5340970464166376,58.98077534159517,14.10269907958463,0,0,0.5495072794273009
3,72.70238095238096,15.93853580066044,0,0,0.5675426881162925,64.16031140768986,15.659380059626507,0,0,0.5748862466948834
4,73.26587301587303,17.395045731062226,0,0,0.5840380698947131,65.80473466793772,16.970716743807348,0,0,0.5954781266141294
5,76.13492063492065,18.917907638130536,0,0,0.6007145678665734,68.7996504607563,18.426829641798058,0,0,0.6157719234802493
6,76.03968253968254,20.47897489434726,0,0,0.619214002267535,69.6258341277407,19.811196393210004,0,0,0.637955699351121
7,76.67063492063492,21.555557644799787,0,0,0.6336792619598625,77.35144582141722,20.653844492192675,0,0,0.650080707923311
8,78.73015873015873,22.40124838199759,0,0,0.6440464201939647,76.66031140768987,21.850011535844974,0,0,0.6647066511982899
9,78.26190476190476,22.981416129535173,0,0,0.6503370594186305,78.75357483317445,22.85693466097052,0,0,0.6674183687045915
10,80.97222222222221,23.611988821090517,0,0,0.6628612923942794,79.2381633301557,23.203947045153555,0,0,0.6769545876339942
11,75.78571428571429,24.578427199981423,0,0,0.6601664598581132,77.91150301874802,24.03466649285548,0,0,0.6847123046533227
12,80.66666666666666,25.2901301378508,0,0,0.6672514979079484,80.0047664442326,24.389012750699155,0,0,0.6889550762472326
13,80.98412698412697,26.08897244423788,0,0,0.6742450772914994,80.23514458214171,25.432952925810678,0,0,0.7002647905022563
14,81.15476190476191,26.48268748482363,0,0,0.6757942450707013,78.98395297108357,25.77429974741143,0,0,0.7012904021549294
15,81.96825396825396,27.07916769692837,0,0,0.6803290845197186,81.10502065459167,26.1550698651607,0,0,0.7089328215754492
16,80.64682539682539,27.84001542841889,0,0,0.6797923123952372,81.1367969494757,26.420254033580395,0,0,0.7099438854451919
17,81.65079365079366,27.88595983600243,0,0,0.6842134637630962,80.95408325389259,26.39567214725182,0,0,0.7129886073454604
18,82.5515873015873,28.616823112476194,0,0,0.6887082665805396,79.29377184620273,26.875858166652495,0,0,0.7173355948198662
19,81.97619047619047,29.75382238280905,0,0,0.6922571587114139,81.9073721004131,27.116171194715363,0,0,0.7274356700920676
20,84.61904761904762,30.444509229640857,0,0,0.7013596972814601,81.83190340006355,27.41200031991981,0,0,0.7322269266743412
21,83.72222222222223,30.883169844297225,0,0,0.7031015719863406,80.23117254528121,27.873691496497884,0,0,0.740601144507449
22,83.01190476190477,31.570114233082975,0,0,0.7044741426301849,78.92437241817603,27.854240939612023,0,0,0.7426666528520034
23,84.96825396825396,32.65704416131089,0,0,0.7071922547923725,78.68207816968541,28.352732915811032,0,0,0.7457640388346749
24,86.34920634920634,32.43272564659996,0,0,0.7120106329165795,80.10406736574515,28.57665802712194,0,0,0.7513838487811455
25,86.58730158730158,33.31434516583399,0,0,0.7139706395379034,80.7872577057515,29.902536524358315,0,0,0.7604013579727181
26,87.71825396825396,33.60111342555629,0,0,0.7164790063842182,81.61741340959644,29.609125745504784,0,0,0.7637597544501471
27,86.80158730158729,34.35803104415512,0,0,0.7264094538035494,82.15761042262473,31.10930440014658,0,0,0.7706299550864815
28,88.38492063492065,34.71995808166117,0,0,0.7259328320372207,81.9351763584366,31.664416291232556,0,0,0.773796931833755
29,88.3095238095238,35.336781675661726,0,0,0.7239409536916049,81.89148395297109,31.929654791553343,0,0,0.7751137621879503
30,88.56349206349206,35.36936247852875,0,0,0.7302927233418711,82.59056244041945,32.123421002058244,0,0,0.7802183786621296
31,88.46825396825396,35.497203767760354,0,0,0.72821444204064,83.20225611693678,31.804313947096745,0,0,0.7818150775008491
32,89.47619047619048,35.50857984483162,0,0,0.7413971839831857,82.67397521449,32.38302037565537,0,0,0.785016929026483
33,89.10714285714285,35.25904330425805,0,0,0.735891809187919,83.28964092786781,32.33720827641086,0,0,0.7873270437715515
34,85.5079365079365,34.94018925297886,0,0,0.7366806711225831,83.52796313949794,32.70637105348559,0,0,0.7907768762933626
35,88.52777777777779,35.19228233656168,0,0,0.7372082733265853,83.23800444868128,31.931749279271557,0,0,0.7931144485514703
36,84.95238095238095,35.249773871950914,0,0,0.7398361742076629,82.93612964728312,32.284092334886154,0,0,0.7953143759115212
37,89.57936507936506,35.225716973684804,0,0,0.7420340058967465,85.29949157928185,32.31289854047268,0,0,0.799243286387623
38,90.0,35.153205678650586,0,0,0.7443345225883734,84.0165236733397,32.68550602220712,0,0,0.799162412253056
39,86.46031746031746,35.31931004614149,0,0,0.7508449332582078,86.98760724499523,32.92047305164961,0,0,0.8109652271083521
40,90.44047619047619,35.144567925032426,0,0,0.7528282001321777,85.48617731172544,33.22706837376563,0,0,0.8102506349199877
41,90.61507936507935,35.487277219959395,0,0,0.7537583959536153,85.61725452812203,33.549175787129776,0,0,0.8108448611824949
