epoch,val_acc,val_f1,val_precision,val_recall,val_auc,test_acc,test_f1,test_precision,test_recall,test_auc
0,32.4883504193849,41.21825053248183,0,0,0.5421403164005623,34.02224281742354,41.00826394471562,0,0,0.5298649037586779
1,52.022367194781,45.24149875318467,0,0,0.6492360525813602,51.27896200185357,44.019333455028985,0,0,0.6261899344183689
2,60.475302889096,49.311074393223734,0,0,0.7059602751666464,58.76737720111214,48.06851794525158,0,0,0.6809052548787717
3,68.91891891891892,50.78886498535013,0,0,0.7236565559062036,59.90732159406857,49.52066882641863,0,0,0.6977414638272471
4,69.64585274930103,50.97750446089108,0,0,0.7257135222980311,59.95366079703429,49.668500433479345,0,0,0.6996308591630958
5,69.37558247903075,51.23795819309409,0,0,0.7296248951732458,60.12974976830399,49.88667007074379,0,0,0.7036506931932852
6,68.8350419384902,51.66170154651231,0,0,0.7342479405507599,60.278035217794255,50.285295684326634,0,0,0.7081069471764156
7,68.69524697110903,51.85581623083503,0,0,0.7362411042412191,60.7321594068582,50.40012122180824,0,0,0.7102220301982132
8,71.5004659832246,52.336432362131724,0,0,0.7409576392110299,60.6672845227062,50.79043292465978,0,0,0.7144735304033425
9,73.75582479030756,52.52422420533459,0,0,0.7432082137191165,60.713623725671916,51.033653516884236,0,0,0.7167000201292649
10,74.30568499534016,52.87953090246883,0,0,0.7480030233428583,60.53753475440222,51.26845920350572,0,0,0.7216629198996851
11,74.41752096924512,53.08034774441937,0,0,0.7495080786428542,69.48100092678405,51.37465020188331,0,0,0.7231995547239187
12,75.04193849021433,53.28375035808047,0,0,0.7528209564717532,73.13253012048193,51.82441286096373,0,0,0.7264996644471751
13,74.25908667287979,53.64635591512232,0,0,0.755676053783118,72.93790546802595,52.01762775025345,0,0,0.7291170205261756
14,74.27772600186394,53.83809300200395,0,0,0.7580672641833269,73.60518999073217,52.19326999785716,0,0,0.7316735097264788
15,73.41099720410065,54.01404615146977,0,0,0.7600447305050488,74.19833178869324,52.31247724490877,0,0,0.7332561214934332
16,73.77446411929171,54.281768240788566,0,0,0.7628441836721066,73.725671918443,52.55476073613213,0,0,0.7364009694883872
17,75.73159366262814,54.486397416525506,0,0,0.7638109636124274,73.75347544022243,52.641303950420465,0,0,0.7372427916685711
18,73.11276794035415,54.52370749370577,0,0,0.7654437374834517,72.95644114921222,52.686818974195134,0,0,0.7388911526785354
19,74.5945945945946,54.7427418015663,0,0,0.7678374635660006,74.22613531047266,52.82037915748494,0,0,0.7412856171103975
20,74.16589002795901,55.12866562477181,0,0,0.7709527900341472,74.54124189063947,52.99346066881876,0,0,0.744423465264542
21,75.98322460391425,55.34166412209636,0,0,0.772761341296408,74.49490268767377,53.14817457989041,0,0,0.746161175417172
22,75.90866728797762,55.619837333162195,0,0,0.774747323890233,75.52363299351252,53.23970262345894,0,0,0.7483643385744003
23,75.67567567567568,55.66506101967559,0,0,0.7763881246159746,75.31047265987024,53.44031421888542,0,0,0.7498782960071969
24,75.48928238583412,55.88278109119669,0,0,0.7774113200425407,74.65245597775719,53.43930353326539,0,0,0.7509349697422409
25,75.79683131407269,56.17682149015044,0,0,0.7795964932217906,73.855421686747,53.53206223209361,0,0,0.7532191187432322
26,76.31873252562907,56.27975396021784,0,0,0.7794506444672114,73.35495829471733,53.66258222164062,0,0,0.7530532758497535
27,76.26281453867662,56.615405199297356,0,0,0.7827221903084536,75.90361445783132,54.031098096742355,0,0,0.7564685975506329
28,76.90587138863,56.70631900669305,0,0,0.7844423208967932,75.4772937905468,54.188988420245224,0,0,0.758143298172641
29,76.48648648648648,56.838542937616275,0,0,0.7848858590754147,76.08897126969416,54.16535830093951,0,0,0.7585930865714772
30,76.7381174277726,56.908814454221194,0,0,0.7862336810646177,75.96848934198331,54.331009502591584,0,0,0.7600971286095122
31,77.26933830382106,57.08560243797136,0,0,0.7871858799397337,75.86654309545875,54.35746628240531,0,0,0.7607699007341742
32,77.12954333643988,57.241020968281326,0,0,0.7885183526585078,76.44114921223354,54.61701566323749,0,0,0.7622959389541231
33,77.26933830382106,57.48946068290852,0,0,0.7902729955757889,76.144578313253,54.837603474794605,0,0,0.7640981827824341
34,78.04287045666356,57.515248941726895,0,0,0.7910287625620209,76.47822057460613,54.8848267290958,0,0,0.7648837090347052
35,77.53028890959925,57.70361263450427,0,0,0.7920157486280573,76.36700648748841,54.86439877543354,0,0,0.7659395315456156
36,77.81919850885369,57.570359168814534,0,0,0.792834851743071,76.18164967562558,55.01247212662736,0,0,0.7667415206079402
37,77.23205964585274,57.702083648730515,0,0,0.793646637687924,76.72845227062095,55.24093763862445,0,0,0.7675637764781504
38,78.2385834109972,57.87025996905877,0,0,0.7946434504729066,76.20018535681186,55.27563744880435,0,0,0.768709182276617
39,77.1295433364399,57.87300025688289,0,0,0.7959491928240316,76.22798887859128,55.464748589584175,0,0,0.7703110270581831
40,77.34389561975769,58.119834861065065,0,0,0.7969093971924108,76.32993512511584,55.53555703275858,0,0,0.7709237397184076
41,77.76328052190122,58.232962347364364,0,0,0.7980793420043932,75.87581093605189,55.64323962979788,0,0,0.7723822069409714
42,77.47437092264678,58.11940553626207,0,0,0.7979499467227024,75.83873957367935,55.747884688191675,0,0,0.7723137117314233
43,78.00559179869525,58.168533816947004,0,0,0.7987591306783153,76.07043558850788,55.74089516059589,0,0,0.77345797207645
44,77.88443616029822,58.30201450139252,0,0,0.7999940919826025,76.04263206672844,55.9104279332395,0,0,0.7744370242235019
45,78.90959925442685,58.4645487407562,0,0,0.8010702225682325,76.22798887859128,56.14939958830594,0,0,0.7757481860620021
46,78.21062441752098,58.589637729460335,0,0,0.8020113037950518,76.144578313253,56.33210112557558,0,0,0.776658048781987
47,78.29450139794969,58.676639107563915,0,0,0.8029862089267038,76.4967562557924,56.32689727497734,0,0,0.7776849220396731
48,78.29450139794967,58.58031016426448,0,0,0.8025980830857362,76.61723818350325,56.30941132820228,0,0,0.7775667427957931
49,78.08946877912396,58.7494649544774,0,0,0.8041369719112721,76.29286376274328,56.55628543180829,0,0,0.7792373961904093
50,79.19850885368126,58.76986632259762,0,0,0.8046440623235849,76.64504170528267,56.56894175874876,0,0,0.7795191256148836
51,79.3103448275862,58.77484369200844,0,0,0.8043659280122517,76.6728452270621,56.57147596706758,0,0,0.7793757562445603
52,78.70456663560113,58.74523347786212,0,0,0.8047964469970031,76.67284522706208,56.5761892492567,0,0,0.7798727220396255
53,79.03075489282385,58.96030666252943,0,0,0.8057110669386441,77.41427247451344,56.68249086188613,0,0,0.78088140446845
54,79.00279589934765,59.06420804990516,0,0,0.8057149574358655,76.57089898053754,56.74971070865604,0,0,0.7808667209293525
55,78.75116495806151,59.15482493660768,0,0,0.8067845769272093,77.2752548656163,56.82697176939676,0,0,0.7820481934395003
56,79.02143522833178,59.103952691745896,0,0,0.8067933704844824,76.6543095458758,56.82521455259378,0,0,0.7822266040216934
57,78.99347623485554,59.27397898378846,0,0,0.8075416257583707,77.35866543095459,56.91814513875833,0,0,0.7829958725328392
58,79.01211556383971,59.32502546937867,0,0,0.8088075729300384,77.43280815569972,57.10402870424849,0,0,0.7843286840655264
59,79.03075489282385,59.194275984867545,0,0,0.8079560107252177,76.85820203892493,56.955690818568726,0,0,0.7833770391000521
60,79.06803355079217,59.36626358634718,0,0,0.8091867957253236,76.95088044485635,57.20553086496301,0,0,0.7845389114345405
61,79.11463187325258,59.438468538059,0,0,0.8093356794257506,77.451343836886,57.21344800563766,0,0,0.7847542852890849
62,79.23578751164958,59.66644282054934,0,0,0.8107019650831141,76.64504170528267,57.32124699187862,0,0,0.7865472872063539
63,79.30102516309412,59.68354491582858,0,0,0.811022270205455,77.08989805375347,57.42901902512276,0,0,0.7868305682075645
64,79.12395153774465,59.620773650146404,0,0,0.8108319668304166,77.10843373493977,57.38789075989571,0,0,0.78690693430951
65,79.2730661696179,59.58449407298999,0,0,0.811408451030108,77.0064874884152,57.39914569707531,0,0,0.7872825185797792
66,79.0587138863001,59.557498537921035,0,0,0.8114329529743249,77.17330861909174,57.44412661498105,0,0,0.7873004170559856
67,79.04007455731593,59.60539209683028,0,0,0.8115081702598973,77.10843373493977,57.45201891255829,0,0,0.787357799249023
68,79.47809878844362,59.74368077375084,0,0,0.811979498365195,77.23818350324375,57.461772100343524,0,0,0.7880115557770397
69,78.89095992544269,59.78150966503856,0,0,0.8125332625886429,77.0528266913809,57.54313165122073,0,0,0.7886430205938656
70,79.22646784715751,59.74352514974787,0,0,0.8126769871253143,77.08063021316033,57.58289791906778,0,0,0.788942894852406
71,78.9655172413793,59.75631178048242,0,0,0.812820857728376,77.28452270620946,57.55320220480168,0,0,0.7889584387024668
72,79.03075489282386,59.811303223350684,0,0,0.8136194327136776,77.30305838739574,57.696134134328375,0,0,0.789986989589322
73,78.55545200372788,59.783561705538446,0,0,0.8134402739017821,77.14550509731232,57.589016834544495,0,0,0.7899193066266728
74,79.17986952469711,59.81515523376929,0,0,0.8135479360280419,77.49768303985172,57.725079099203604,0,0,0.7901643588704068
75,78.94687791239515,59.90231054294901,0,0,0.8141729445281101,77.31232622798888,57.70358580667437,0,0,0.7908440577441564
76,79.23578751164958,59.79909384568263,0,0,0.8145147979564207,77.17330861909174,57.72358474616867,0,0,0.7913082554809152
77,78.928238583411,59.82875924369053,0,0,0.8140290654881571,77.2752548656163,57.743452602278296,0,0,0.7907749535559312
78,78.89095992544269,59.82322521612044,0,0,0.814207883410243,77.36793327154774,57.776357016663496,0,0,0.7910329297211252
79,79.30102516309412,59.94945454763083,0,0,0.8148376199297594,77.21964782205747,57.86255823955281,0,0,0.7920324903072695
80,79.29170549860206,59.85832777680277,0,0,0.8148044802210335,77.41427247451345,57.871548556301136,0,0,0.7918815649219221
81,79.49673811742778,59.97574194350874,0,0,0.8155769076825825,77.2937905468026,58.051070067910565,0,0,0.7928744283623488
82,79.31034482758619,59.93903015247436,0,0,0.8155384583065212,77.45134383688601,57.92904530579044,0,0,0.7928858302524981
83,79.4874184529357,59.97761916967863,0,0,0.8160388615928952,77.33086190917517,57.935631029583575,0,0,0.793252391015077
84,79.29170549860206,60.019292058491246,0,0,0.816226621535814,77.90546802594997,58.11271118748251,0,0,0.7934690849120457
85,79.96272134203168,60.110771151510235,0,0,0.8174248253691353,77.79425393883226,58.14772972208866,0,0,0.7945236720402054
86,79.71109040074558,60.04164439967561,0,0,0.8165222013651128,77.81278962001853,58.07851932482657,0,0,0.7938998281315077
87,79.43150046598322,60.034484458741005,0,0,0.81675175196008,77.88693234476366,58.145039705162844,0,0,0.7942675938022293
88,79.51537744641193,60.07207590018864,0,0,0.8168894371407882,77.82205746061167,58.126249517056394,0,0,0.7943546252349118
89,79.52469711090401,60.028356304089606,0,0,0.8172328190231027,77.70157553290083,58.257745358670775,0,0,0.7947554312004401
90,79.76700838769804,60.11297210854018,0,0,0.8172270092610233,77.87766450417053,58.22455334370737,0,0,0.7947059713463671
91,79.59925442684064,60.048339588256056,0,0,0.8171564172879814,77.60889712696942,58.202295980359665,0,0,0.7947840602296862
92,79.4408201304753,60.079789270668186,0,0,0.8177520128133731,77.46061167747915,58.19836193666165,0,0,0.7952175724094532
93,79.56197576887232,60.08208200362193,0,0,0.8178021381556663,77.84059314179795,58.210842561308006,0,0,0.795618142155863
94,79.76700838769804,60.08575753715979,0,0,0.8182197336422361,77.45134383688601,58.24447331680354,0,0,0.796281330149675
95,79.54333643988818,60.16482556710415,0,0,0.8178636506384235,77.99814643188137,58.20206702646915,0,0,0.7958983463040923
96,79.44082013047532,60.25380708072596,0,0,0.8185216171581173,78.21130676552363,58.27308528653441,0,0,0.7965079150367382
97,79.97204100652377,60.28546889587718,0,0,0.8189126166841649,77.20111214087117,58.348290053846405,0,0,0.7969948615322842
98,79.9161230195713,60.320126344447054,0,0,0.8186848866875248,77.72937905468027,58.249861376921785,0,0,0.7966464877727417
99,79.84156570363467,60.29252456330222,0,0,0.8191323466696548,77.33086190917517,58.29779764665,0,0,0.7972289703952546
