epoch,val_acc,val_f1,val_precision,val_recall,val_auc,test_acc,test_f1,test_precision,test_recall,test_auc
0,75.83838383838383,28.25698773393018,0,0,0.6165240969109997,65.8741711143458,28.68966052535821,0,0,0.6389586744650954
1,73.29292929292929,31.409703045831957,0,0,0.6540046349881278,70.71809801067442,33.94660251861538,0,0,0.67641323769382
2,81.25252525252525,33.330646921657845,0,0,0.6724192660855828,74.21154779233382,34.858745043298114,0,0,0.6911956975035669
3,80.88888888888889,34.67153928810206,0,0,0.6893118880700226,75.90166585799773,36.29455927018942,0,0,0.7032417283412208
4,80.3030303030303,36.324113469125905,0,0,0.7043422238088526,77.76160439915898,37.39946241939593,0,0,0.7184772503482659
5,80.92929292929291,38.252051960744005,0,0,0.7284100468084648,77.07423580786026,39.05767719461162,0,0,0.7376310330446992
6,82.14141414141415,38.38499014682918,0,0,0.7273804840695404,78.2468057577228,39.0044443725484,0,0,0.7365098597981823
7,76.54545454545455,39.53285940073043,0,0,0.7449917547752999,78.52175319424228,40.18354274080083,0,0,0.7515533705002618
8,83.47474747474747,41.18831135333326,0,0,0.7533649249010302,80.52725214297267,40.88575408073786,0,0,0.7605751096791189
9,83.25252525252525,42.13901645940643,0,0,0.7593358925141112,78.86139414523694,41.37400162555466,0,0,0.7648964927896472
10,81.57575757575758,42.43208253193123,0,0,0.7668804672668071,79.47598253275108,42.07267419234411,0,0,0.77065632871577
11,84.30303030303031,43.802954584210255,0,0,0.7697818471004062,81.46530810286269,42.168882750927196,0,0,0.7767846975993594
12,80.82828282828284,43.92334026162608,0,0,0.7728220081125141,80.05013747371827,42.50688760500617,0,0,0.7789023949485737
13,86.34343434343435,44.94529321078907,0,0,0.7829768943240624,81.57043506388486,43.52790085966449,0,0,0.7864339021132033
14,82.16161616161617,46.076220339959434,0,0,0.7835632426970333,82.54892447032185,44.19623958214905,0,0,0.7876809721229958
15,85.2121212121212,46.66078041703804,0,0,0.7890323152919565,83.23629306162059,44.77006569187881,0,0,0.7931297181221793
16,86.22222222222223,46.88507309612965,0,0,0.795534466109258,83.14733947921722,45.36965239902787,0,0,0.7979674815161816
17,84.16161616161615,46.66105202786834,0,0,0.7922095990663188,84.04496199256025,45.33544518690836,0,0,0.7965426631790182
18,82.98989898989899,47.74587219902695,0,0,0.7978614824698179,84.96684457383145,45.57889105142931,0,0,0.8028064385122218
19,86.86868686868688,47.678156339301,0,0,0.799212978483308,83.69723435225619,46.08511017199654,0,0,0.8041203418591486
20,86.32323232323232,47.427771955058944,0,0,0.7970547897878316,84.23904253598577,45.61812040096352,0,0,0.8031192672653096
21,87.37373737373737,48.17885567130331,0,0,0.8034184630344392,85.62186640789261,46.73555548535795,0,0,0.8072574989870116
22,87.17171717171716,49.4798729724917,0,0,0.8075748113450482,85.01536470968784,47.603438955167235,0,0,0.8116259474752954
23,84.32323232323233,48.73532150657076,0,0,0.8079265264992315,84.97493126314086,47.51775045892734,0,0,0.8117040454012938
24,84.72727272727272,48.648542998768576,0,0,0.8100292659174316,85.4358725537765,47.699740155953435,0,0,0.8125254750100905
25,87.47474747474747,49.76808728635248,0,0,0.8124609568971101,85.79168688338993,48.22980694382742,0,0,0.8162700358580117
26,88.72727272727272,50.46928468403946,0,0,0.8154589895497721,86.4143619602135,48.744765502319815,0,0,0.8170134482180224
27,88.46464646464646,50.24681937035018,0,0,0.8171708198651749,86.28497493126314,48.57530091588521,0,0,0.8190838584033636
28,89.07070707070707,51.4745370646478,0,0,0.8177665544429876,86.21219472747858,49.35550154586373,0,0,0.8203354179756167
29,88.96969696969695,51.98522119318391,0,0,0.8226474547891567,85.71890667960537,49.64050494966628,0,0,0.8250092089757294
30,86.54545454545455,52.51635729041534,0,0,0.8234866674756108,86.89147662946789,50.090218335597875,0,0,0.8277780335380587
31,86.42424242424244,50.86283321604904,0,0,0.8237175528761659,86.01002749474364,49.56918486262657,0,0,0.8275929875896327
32,88.40404040404042,51.7295596013316,0,0,0.826248599420334,86.6407892608766,50.406868313996235,0,0,0.8298298680658522
33,87.53535353535352,52.61809805048542,0,0,0.8261104929213383,86.79443635775513,50.43064629268645,0,0,0.829447337617431
34,89.43434343434343,52.56397861711301,0,0,0.8296019810691884,85.93724729095908,50.68888887317746,0,0,0.8330944967434726
35,87.31313131313134,52.35412863433484,0,0,0.8286426537734131,85.9049005337215,50.49322795820574,0,0,0.8325673339795984
36,87.6161616161616,53.31327795014968,0,0,0.8326370042735876,86.44670871745106,51.34176697052175,0,0,0.8345695524712102
37,89.21212121212122,53.28695086942588,0,0,0.8334620362597277,86.47096878537927,51.64450974620758,0,0,0.8350819074025286
38,88.02020202020202,52.813280586063804,0,0,0.8342018692830133,86.46288209606986,51.12338858068648,0,0,0.8353867031518234
39,89.1919191919192,54.16502477548995,0,0,0.8383824001892384,85.74316674753355,51.50921025223752,0,0,0.8373617556781414
40,88.32323232323232,54.54880666158085,0,0,0.839445835531675,86.15558790231279,52.406371542600674,0,0,0.8415408098745231
41,87.95959595959596,54.020884738331326,0,0,0.8380231297979414,86.77826297913633,52.53258866089604,0,0,0.8410893354745119
42,89.37373737373736,54.66618148731371,0,0,0.8399956055843878,86.00194080543426,52.04503499208161,0,0,0.8423524730040381
43,89.47474747474747,55.23352907822711,0,0,0.8415140520557822,87.32815785217532,52.402118077829904,0,0,0.8445996824254355
44,89.31313131313131,54.8051593355747,0,0,0.8415029145325222,86.81060973637392,52.429899524058094,0,0,0.8435065867098691
45,89.29292929292929,55.288002602491105,0,0,0.8427414744326264,87.95891961830826,52.77534817080137,0,0,0.8448656801451593
46,89.47474747474749,55.39558781947373,0,0,0.8434599491450812,87.56267184214784,52.90139815269382,0,0,0.8450454744999472
47,88.72727272727272,55.69319354786191,0,0,0.8444627554679447,87.27963771631894,53.62982495832035,0,0,0.8456350883911925
48,89.87878787878788,55.22585340722841,0,0,0.8469339854510345,86.96425683325246,53.398894549946746,0,0,0.8497209868004428
49,89.1919191919192,53.832883170937976,0,0,0.8445879574524534,86.73782953258936,52.79733679583288,0,0,0.8457073062156
50,89.61616161616162,55.685029126382815,0,0,0.8474521988871246,87.8537926572861,53.304656602486226,0,0,0.8480448428866757
51,89.69696969696969,56.865244904426255,0,0,0.8501759796947421,87.82144590004852,53.91880116541047,0,0,0.8514894821927604
52,89.83838383838383,56.163030960320754,0,0,0.8480961065043755,87.27155102700955,53.274811874452276,0,0,0.8502069688262026
53,89.27272727272727,55.2477687033153,0,0,0.8461874556079719,87.90231279314247,53.592247660691264,0,0,0.8477587146468992
54,89.53535353535352,55.929137537731684,0,0,0.8508429510656534,86.13941452369401,53.78109235084838,0,0,0.8531155715059577
55,89.75757575757576,56.031852917790104,0,0,0.8489074835556669,87.3847646773411,54.05048288256155,0,0,0.8491112798381981
56,89.63636363636364,56.90521845052873,0,0,0.8517177594049621,86.50331554261686,54.88744035819814,0,0,0.8548343710665856
57,89.8989898989899,56.67321595304724,0,0,0.8513227717196578,87.47371825974447,54.26169708947718,0,0,0.8530450763996238
58,90.20202020202021,56.751074430490064,0,0,0.8522878701431432,87.27155102700955,54.23733628586255,0,0,0.852990775773576
59,90.14141414141415,57.49039470916034,0,0,0.8559876814338081,89.72990457706615,55.25524963661301,0,0,0.8557943123520969
60,89.59595959595961,57.37554804492382,0,0,0.8579991002584894,89.81077147016012,54.95206669571552,0,0,0.8597767047810078
